onetsoccode,title,teleworkable
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1
25-1112.00,"Law Teachers, Postsecondary",1
25-1113.00,"Social Work Teachers, Postsecondary",1
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",1
25-1122.00,"Communications Teachers, Postsecondary",1
25-1123.00,"English Language and Literature Teachers, Postsecondary",1
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",1
25-1125.00,"History Teachers, Postsecondary",1
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",1
25-1191.00,Graduate Teaching Assistants,1
25-1192.00,"Home Economics Teachers, Postsecondary",1
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",1
25-1194.00,"Vocational Education Teachers, Postsecondary",1
25-2011.00,"Preschool Teachers, Except Special Education",1
25-2012.00,"Kindergarten Teachers, Except Special Education",1
25-2021.00,"Elementary School Teachers, Except Special Education",1
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",1
25-2023.00,"Career/Technical Education Teachers, Middle School",1
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",1
25-2032.00,"Career/Technical Education Teachers, Secondary School",1
25-2051.00,"Special Education Teachers, Preschool",1
25-2052.00,"Special Education Teachers, Kindergarten and Elementary School",1
25-2053.00,"Special Education Teachers, Middle School",1
25-2054.00,"Special Education Teachers, Secondary School",1
25-2059.01,Adapted Physical Education Specialists,0
25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors,1
25-3021.00,Self-Enrichment Education Teachers,1
25-3099.02,Tutors,1
25-4011.00,Archivists,1
25-4012.00,Curators,1
25-4013.00,Museum Technicians and Conservators,0
25-4021.00,Librarians,1
25-4031.00,Library Technicians,1
25-9011.00,Audio-Visual and Multimedia Collections Specialists,1
25-9021.00,Farm and Home Management Advisors,0
25-9031.00,Instructional Coordinators,1
25-9031.01,Instructional Designers and Technologists,1
25-9041.00,Teacher Assistants,1
27-1011.00,Art Directors,1
27-1012.00,Craft Artists,0
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",1
27-1014.00,Multimedia Artists and Animators,1
27-1021.00,Commercial and Industrial Designers,1
27-1022.00,Fashion Designers,1
27-1023.00,Floral Designers,1
27-1024.00,Graphic Designers,1
27-1025.00,Interior Designers,1
27-1026.00,Merchandise Displayers and Window Trimmers,0
27-1027.00,Set and Exhibit Designers,1
27-2011.00,Actors,0
27-2012.01,Producers,0
27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio",1
27-2012.03,Program Directors,0
27-2012.04,Talent Directors,1
27-2012.05,Technical Directors/Managers,0
27-2021.00,Athletes and Sports Competitors,1
27-2022.00,Coaches and Scouts,1
27-2023.00,"Umpires, Referees, and Other Sports Officials",0
27-2031.00,Dancers,0
27-2032.00,Choreographers,0
27-2041.01,Music Directors,0
27-2041.04,Music Composers and Arrangers,1
27-2042.01,Singers,0
27-2042.02,"Musicians, Instrumental",0
27-3011.00,Radio and Television Announcers,0
27-3012.00,Public Address System and Other Announcers,1
27-3021.00,Broadcast News Analysts,0
27-3022.00,Reporters and Correspondents,1
27-3031.00,Public Relations Specialists,1
27-3041.00,Editors,1
27-3042.00,Technical Writers,1
27-3043.04,Copy Writers,1
27-3043.05,"Poets, Lyricists and Creative Writers",1
27-3091.00,Interpreters and Translators,0
27-4011.00,Audio and Video Equipment Technicians,1
27-4012.00,Broadcast Technicians,1
27-4013.00,Radio Operators,1
27-4014.00,Sound Engineering Technicians,1
27-4021.00,Photographers,1
27-4031.00,"Camera Operators, Television, Video, and Motion Picture",0
27-4032.00,Film and Video Editors,1
29-1011.00,Chiropractors,0
29-1021.00,"Dentists, General",0
29-1022.00,Oral and Maxillofacial Surgeons,0
29-1023.00,Orthodontists,0
29-1024.00,Prosthodontists,0
29-1031.00,Dietitians and Nutritionists,0
29-1041.00,Optometrists,0
29-1051.00,Pharmacists,0
29-1061.00,Anesthesiologists,0
29-1062.00,Family and General Practitioners,0
29-1063.00,"Internists, General",0
29-1064.00,Obstetricians and Gynecologists,0
29-1065.00,"Pediatricians, General",0
29-1066.00,Psychiatrists,1
29-1067.00,Surgeons,0
29-1069.01,Allergists and Immunologists,0
29-1069.02,Dermatologists,0
29-1069.03,Hospitalists,0
29-1069.04,Neurologists,0
29-1069.05,Nuclear Medicine Physicians,0
29-1069.06,Ophthalmologists,0
29-1069.07,Pathologists,0
29-1069.08,Physical Medicine and Rehabilitation Physicians,0
29-1069.09,Preventive Medicine Physicians,1
29-1069.10,Radiologists,0
29-1069.11,Sports Medicine Physicians,0
29-1069.12,Urologists,0
29-1071.00,Physician Assistants,0
29-1071.01,Anesthesiologist Assistants,0
29-1081.00,Podiatrists,0
29-1122.00,Occupational Therapists,0
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",0
29-1123.00,Physical Therapists,0
29-1124.00,Radiation Therapists,0
29-1125.00,Recreational Therapists,0
29-1125.01,Art Therapists,1
29-1125.02,Music Therapists,1
29-1126.00,Respiratory Therapists,0
29-1127.00,Speech-Language Pathologists,1
29-1128.00,Exercise Physiologists,0
29-1131.00,Veterinarians,0
29-1141.00,Registered Nurses,0
29-1141.01,Acute Care Nurses,0
29-1141.02,Advanced Practice Psychiatric Nurses,0
29-1141.03,Critical Care Nurses,0
29-1141.04,Clinical Nurse Specialists,0
29-1151.00,Nurse Anesthetists,0
29-1161.00,Nurse Midwives,0
29-1171.00,Nurse Practitioners,0
29-1181.00,Audiologists,0
29-1199.01,Acupuncturists,0
29-1199.04,Naturopathic Physicians,0
29-1199.05,Orthoptists,0
29-2011.00,Medical and Clinical Laboratory Technologists,0
29-2011.01,Cytogenetic Technologists,0
29-2011.02,Cytotechnologists,0
29-2011.03,Histotechnologists and Histologic Technicians,0
29-2012.00,Medical and Clinical Laboratory Technicians,0
29-2021.00,Dental Hygienists,0
29-2031.00,Cardiovascular Technologists and Technicians,0
29-2032.00,Diagnostic Medical Sonographers,0
29-2033.00,Nuclear Medicine Technologists,0
29-2034.00,Radiologic Technologists,0
29-2035.00,Magnetic Resonance Imaging Technologists,0
29-2041.00,Emergency Medical Technicians and Paramedics,0
29-2051.00,Dietetic Technicians,0
29-2052.00,Pharmacy Technicians,0
29-2053.00,Psychiatric Technicians,0
29-2054.00,Respiratory Therapy Technicians,0
29-2055.00,Surgical Technologists,0
29-2056.00,Veterinary Technologists and Technicians,0
29-2057.00,Ophthalmic Medical Technicians,0
29-2061.00,Licensed Practical and Licensed Vocational Nurses,0
29-2071.00,Medical Records and Health Information Technicians,1
29-2081.00,"Opticians, Dispensing",0
29-2091.00,Orthotists and Prosthetists,0
29-2092.00,Hearing Aid Specialists,0
29-2099.01,Neurodiagnostic Technologists,0
29-2099.05,Ophthalmic Medical Technologists,0
29-2099.06,Radiologic Technicians,0
29-2099.07,Surgical Assistants,0
29-9011.00,Occupational Health and Safety Specialists,0
29-9012.00,Occupational Health and Safety Technicians,0
29-9091.00,Athletic Trainers,1
29-9092.00,Genetic Counselors,1
29-9099.01,Midwives,0
31-1011.00,Home Health Aides,0
31-1013.00,Psychiatric Aides,0
31-1014.00,Nursing Assistants,0
31-1015.00,Orderlies,0
31-2011.00,Occupational Therapy Assistants,0
31-2012.00,Occupational Therapy Aides,0
31-2021.00,Physical Therapist Assistants,0
31-2022.00,Physical Therapist Aides,0
31-9011.00,Massage Therapists,0
31-9091.00,Dental Assistants,0
31-9092.00,Medical Assistants,0
31-9093.00,Medical Equipment Preparers,0
31-9094.00,Medical Transcriptionists,1
31-9095.00,Pharmacy Aides,0
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,0
31-9097.00,Phlebotomists,0
31-9099.01,Speech-Language Pathology Assistants,1
31-9099.02,Endoscopy Technicians,0
33-1011.00,First-Line Supervisors of Correctional Officers,0
33-1012.00,First-Line Supervisors of Police and Detectives,0
33-1021.01,Municipal Fire Fighting and Prevention Supervisors,0
33-1021.02,Forest Fire Fighting and Prevention Supervisors,0
33-2011.01,Municipal Firefighters,0
33-2011.02,Forest Firefighters,0
33-2021.01,Fire Inspectors,0
33-2021.02,Fire Investigators,0
33-2022.00,Forest Fire Inspectors and Prevention Specialists,0
33-3011.00,Bailiffs,0
33-3012.00,Correctional Officers and Jailers,0
33-3021.01,Police Detectives,0
33-3021.02,Police Identification and Records Officers,0
33-3021.03,Criminal Investigators and Special Agents,0
33-3021.05,Immigration and Customs Inspectors,0
33-3021.06,Intelligence Analysts,1
33-3031.00,Fish and Game Wardens,0
33-3041.00,Parking Enforcement Workers,0
33-3051.01,Police Patrol Officers,0
33-3051.03,Sheriffs and Deputy Sheriffs,0
33-3052.00,Transit and Railroad Police,0
33-9011.00,Animal Control Workers,0
33-9021.00,Private Detectives and Investigators,1
33-9031.00,Gaming Surveillance Officers and Gaming Investigators,1
33-9032.00,Security Guards,0
33-9091.00,Crossing Guards,0
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",0
33-9093.00,Transportation Security Screeners,0
33-9099.02,Retail Loss Prevention Specialists,1
35-1011.00,Chefs and Head Cooks,0
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,0
35-2011.00,"Cooks, Fast Food",0
35-2012.00,"Cooks, Institution and Cafeteria",0
35-2013.00,"Cooks, Private Household",1
35-2014.00,"Cooks, Restaurant",0
35-2015.00,"Cooks, Short Order",0
35-2021.00,Food Preparation Workers,0
35-3011.00,Bartenders,0
35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",0
35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",0
35-3022.01,Baristas,0
35-3031.00,Waiters and Waitresses,0
35-3041.00,"Food Servers, Nonrestaurant",0
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,0
35-9021.00,Dishwashers,0
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,0
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",0
37-2012.00,Maids and Housekeeping Cleaners,0
37-2021.00,Pest Control Workers,0
37-3011.00,Landscaping and Groundskeeping Workers,0
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",0
37-3013.00,Tree Trimmers and Pruners,0
39-1011.00,Gaming Supervisors,0
39-1012.00,Slot Supervisors,0
39-1021.00,First-Line Supervisors of Personal Service Workers,1
39-1021.01,Spa Managers,0
39-2011.00,Animal Trainers,0
39-2021.00,Nonfarm Animal Caretakers,0
39-3011.00,Gaming Dealers,1
39-3012.00,Gaming and Sports Book Writers and Runners,0
39-3021.00,Motion Picture Projectionists,0
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",1
39-3091.00,Amusement and Recreation Attendants,0
39-3092.00,Costume Attendants,0
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",0
39-4011.00,Embalmers,0
39-4021.00,Funeral Attendants,0
39-4031.00,"Morticians, Undertakers, and Funeral Directors",0
39-5011.00,Barbers,0
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",0
39-5091.00,"Makeup Artists, Theatrical and Performance",1
39-5092.00,Manicurists and Pedicurists,0
39-5093.00,Shampooers,0
39-5094.00,Skincare Specialists,0
39-6011.00,Baggage Porters and Bellhops,0
39-6012.00,Concierges,0
39-7011.00,Tour Guides and Escorts,0
39-7012.00,Travel Guides,0
39-9011.00,Childcare Workers,1
39-9011.01,Nannies,1
39-9021.00,Personal Care Aides,0
39-9031.00,Fitness Trainers and Aerobics Instructors,0
39-9032.00,Recreation Workers,1
39-9041.00,Residential Advisors,1
41-1011.00,First-Line Supervisors of Retail Sales Workers,0
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,1
41-2011.00,Cashiers,0
41-2012.00,Gaming Change Persons and Booth Cashiers,0
41-2021.00,Counter and Rental Clerks,0
41-2022.00,Parts Salespersons,0
41-2031.00,Retail Salespersons,0
41-3011.00,Advertising Sales Agents,0
41-3021.00,Insurance Sales Agents,1
41-3031.01,"Sales Agents, Securities and Commodities",1
41-3031.02,"Sales Agents, Financial Services",1
41-3031.03,Securities and Commodities Traders,1
41-3041.00,Travel Agents,0
41-3099.01,Energy Brokers,1
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",1
41-4011.07,Solar Sales Representatives and Assessors,1
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1
41-9011.00,Demonstrators and Product Promoters,0
41-9012.00,Models,1
41-9021.00,Real Estate Brokers,1
41-9022.00,Real Estate Sales Agents,0
41-9031.00,Sales Engineers,1
41-9041.00,Telemarketers,1
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",0
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,1
43-2011.00,"Switchboard Operators, Including Answering Service",1
43-2021.00,Telephone Operators,0
43-3011.00,Bill and Account Collectors,1
43-3021.01,Statement Clerks,0
43-3021.02,"Billing, Cost, and Rate Clerks",1
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",1
43-3041.00,Gaming Cage Workers,0
43-3051.00,Payroll and Timekeeping Clerks,1
43-3061.00,Procurement Clerks,1
43-3071.00,Tellers,0
43-4011.00,Brokerage Clerks,1
43-4021.00,Correspondence Clerks,1
43-4031.01,Court Clerks,1
43-4031.02,Municipal Clerks,0
43-4031.03,License Clerks,0
43-4041.01,Credit Authorizers,1
43-4041.02,Credit Checkers,1
43-4051.00,Customer Service Representatives,1
43-4051.03,Patient Representatives,0
43-4061.00,"Eligibility Interviewers, Government Programs",0
43-4071.00,File Clerks,1
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",0
43-4111.00,"Interviewers, Except Eligibility and Loan",1
43-4121.00,"Library Assistants, Clerical",0
43-4131.00,Loan Interviewers and Clerks,0
43-4141.00,New Accounts Clerks,0
43-4151.00,Order Clerks,1
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",1
43-4171.00,Receptionists and Information Clerks,0
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,0
43-5011.00,Cargo and Freight Agents,1
43-5011.01,Freight Forwarders,1
43-5021.00,Couriers and Messengers,1
43-5031.00,"Police, Fire, and Ambulance Dispatchers",0
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",1
43-5041.00,"Meter Readers, Utilities",0
43-5051.00,Postal Service Clerks,0
